charge_name,uccs_code,probability,mfj_code,ncrp_code,ncic_code,nibrs_code
IMPROPER SEXUAL RELATIONSHIP WITH PERSON IN CUSTODY,1080,0.955855116533943,45,060,1116,36B
INDECENCY W/ A CHILD EXPOSES,1090,0.999615598874111,50,080,,
INDEC W/CHILD-EXPOS-F3(HCSO00-26523),1090,0.914888028027171,50,080,,
INDECENCY W/CHILD EXPOSES,1090,0.997234917883057,50,080,,
ATTEMPT TO COMMIT INDECENCY WITH A CHILD,1091,0.943767928050152,51,081,,
SEXUAL PERFORM CHILD PRODUCE/DIRECT/PROMOTE,1090,0.999964955401073,50,080,,
ATTEMPTED SEXUAL PERFORMANCE OF A CHILD,1091,0.986751505087417,51,081,,
ATTEMPTED SEXUAL PERFORMANCE BY A CHILD (ATTEMPTED),1091,0.996191495615465,51,081,,
SEXUAL ASSAULT CHILD,1090,0.998059526020919,50,080,,
AGG SEXUAL ASSAULT CHILD,1090,0.999885804760437,50,080,,
INJ CHLD W/BOD INJ-F3 (HAYS),1090,0.715638517848487,50,080,,
INDECENCY W/A CHILD EXPOSES,1090,0.999615598874111,50,080,,
ENTICING A CHILD,1090,0.989406535967306,50,080,,
INDECENCY WITH A CHILD BY EXPOSURE,1090,0.920372172664907,50,080,,
ATTEMPTED INDECENCY W/ CHILD SEXUAL CONTACT,1091,0.885989885394943,51,081,,
CRIMINAL SOLICITATION OF A MINOR [SEX ASLT CHILD] (SOLICITED),1091,0.986257621357071,51,081,,
INDECENCY WITH A CHILD,1090,0.987619721995839,50,080,,
INDECENCY WITH A CHILD BY SEXUAL EXPOSURE,1090,0.887527227653008,50,080,,
CRIMINAL SOLICITATION OF A MINOR SEXUAL ASSAULT CHILD (CRIMINAL SOLICITATION OF A MINOR),1091,0.996166483068016,51,081,,
ONLINE SOLICITATION OF A MINOR,1091,0.989433668006517,51,081,,
ATTEMPT TO COMMIT INDECENCY WITH A CHILD BY SEXUAL CONTACT (ATTEMPTED),1091,0.999536168758012,51,081,,
INJ CHILD-F3 (SMPD00-14135),1090,0.234161606691614,50,080,,
INDEC W/CHILD BY EXP,1090,0.994490149823775,50,080,,
CRIMINAL SOLICITATION OF A MINOR,1091,0.993980495863909,51,081,,
CRIM.SOLICIT MINOR,1091,0.986192520049634,51,081,,
CRIM.SOLICITATION MINOR,1091,0.986192520049634,51,081,,
CRIMINAL SOLICITATION MINOR,1091,0.993980495863909,51,081,,
ONLINE SOLICIT MINOR TO MEET W/ INT SEX/CONTACT,1091,0.999774509949721,51,081,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT,1090,0.997611119850394,50,080,,
INDECENCY WITH A CHILD BY EXPOSURE [RE-IND CR-15-0644],1090,0.943801707537994,50,080,,
ATTEMPTED INDECENCY WITH A CHILD BY SEXUAL CONDUCT (ATTEMPTED),1091,0.896724480528538,51,081,,
SEXUAL PERFORMANCE BY A CHILD,1090,0.999985013080218,50,080,,
INDECENCY WITH A CHILD BY EXPOSURE [RE-IND: CR-16-0141],1090,0.941946259362687,50,080,,
POSS OF CHILD PORN [CR-07-205],1090,0.664130070319543,50,080,,
PROMOTE SEXUAL PERFORMANCE BY A CHILD UNDER 14 YOA,1090,0.993844653139461,50,080,,
INDECENCY CHILD/SMPD#96-12564,1090,0.989534007708275,50,080,,
INDECENCY CHILD/SMPD#97-2705,1090,0.989534007708275,50,080,,
INDECENCY CHILD/SMPD#97-4653,1090,0.989534007708275,50,080,,
INDECENCY W/CHILD SEXUAL CONTACT,1090,0.965618955761034,50,080,,
IND W/CHILD SEX CONT-F2(SMPD00-5647),1090,0.928036337527686,50,080,,
INDECENCY W/CHILD SEX CONT-F2(KPD01-100),1090,0.809199920069118,50,080,,
IND W/CHILD SEX CONTACT-F2(SMPD 03-08487),1090,0.985301237872184,50,080,,
SEXUAL PERFORM CHILD EMPLOY INDUCE/AUTHORIZE,1090,0.988498084883016,50,080,,
SEXUAL ASSAULT OF A CHILD,1090,0.998059526020919,50,080,,
ATTEMPT TO COMMIT SEXUAL PERFORM CHILD PRODUCE/DIRECT/PROMOTE,1091,0.533743899689178,51,081,,
INDECENCY W / A CHILD BY SEX. CONTACT,1090,0.997647844620274,50,080,,
INDEC W/CHILD BY SEXUAL CONTACT,1090,0.965618955761034,50,080,,
INDECENCY WITH A CHILD SEXUAL CONTACT,1090,0.997611119850394,50,080,,
SEXUAL ASSAULT F A CHILD,1090,0.99996339381142,50,080,,
INDECENCY W/CHILD BY SEXUAL CONTACT,1090,0.965618955761034,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-IND CR-09-0983],1090,0.998906624893933,50,080,,
SEXUAL ASSAULT OF A CHILD[RE-IND CR-11-0955],1090,0.999096916457501,50,080,,
INDEC W/CHILD SEX CONT-F2 (KPD 2012-32066),1090,0.970715024651517,50,080,,
INDECENCY WITH A CHILD - CONTINUOUS SEX OFFENDER,1090,0.584700267433958,50,080,,
ONLINE SOLICITATION OF A MINOR [SEXUAL CONDUCT],1091,0.981707298851061,51,081,,
SEXUAL ASSAULT OF A CHILD,1090,0.998059526020919,50,080,,
SEXUAL PERFORMANCE OF A CHILD [RE-INDICTMENT- CR-14-0604],1090,0.999241100513857,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-IND CR-14-0478],1090,0.998906624893933,50,080,,
SEXUAL ASSAULT OF A CHILD [RE-INDCT-CR-14-0597],1090,0.99501498659879,50,080,,
SEXUAL ASSAULT OF A CHILD [RE-IND: CR-14-0693],1090,0.999096916457501,50,080,,
SEXUAL ASSAULT OF A CHILD [RE-INDCT-CR-15-0661],1090,0.99501498659879,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT,1090,0.997611119850394,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDICT CR-17-0620],1090,0.997519632665103,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDT CR-18-0314],1090,0.997611119850394,50,080,,
SEXUAL ABUSE OF A CHILD,1090,0.997839675689994,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONDUCT,1090,0.988155843223903,50,080,,
SEXUAL ASULT OF A CHILD,1090,0.794931220194587,50,080,,
INDECENCY W/ A CHILD SEXUAL CONTACT,1090,0.997611119850394,50,080,,
IND W/ CHILD SEX CON-F2(SMPD 02-47582),1090,0.866922567307334,50,080,,
INDEC W/CHILD SEXUAL CONTACT-F2/SMPD#03-39447,1090,0.993623215445185,50,080,,
INDECENCY W/CHILD BY SEX CONTACT,1090,0.981127890755024,50,080,,
INDECENCY WITH CHILD BY SEXUAL CONTACT,1090,0.997611119850394,50,080,,
CRIMINAL CONSPIRACY [INDECENCY W/CHILD SEX CONTACT] (CONSPIRED),1092,0.781788470811266,52,082,,
SEXUAL ASTL CHILD [RE-IND CR-07-742],1090,0.588386929783479,50,080,,
INDECENCY W/CHILD SEXUAL CONTACT [RE-IND CR-08-122],1090,0.986632778153203,50,080,,
SEXUAL ASSAULT OF A CHILD],1090,0.998059526020919,50,080,,
INDECENCY W/CHILD BY SEXUAL CONTACT [RE-INDT CR-08-811],1090,0.965618955761034,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-IND CR-09-0546],1090,0.998906624893933,50,080,,
SEXUAL ASSAULT OF A CHILD [RE-IND CR-14-0477],1090,0.999096916457501,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDCT-CR-14-0597],1090,0.999116918388541,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDICT CR-14-0833],1090,0.997519632665103,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-IND:CR-15-0876],1090,0.998906624893933,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-IND: CR-16-0141],1090,0.998706162659111,50,080,,
ATTEMPT TO COMMIT AGGRAVATED SEXUAL ASSAULT OF A CHILD (ATTEMPTED),1091,0.978921155696507,51,081,,
SEXUAL ASSAULT OF A CHILD [RE-INDICT CR-17-0620],1090,0.962187525997859,50,080,,
ATTEMPTED AGGRAVATED SEXUAL ASSAULT OF A CHILD (ATTEMPTED),1091,0.866727819273374,51,081,,
INDECENCY W/CHILD,1090,0.997346923721497,50,080,,
I INDECENCY W / A CHILD BY SEX. CONTACT,1090,0.997647844620274,50,080,,
INDECENCY W/CHILD BY SEXUAL CONTACT[RE-INDICTMENT CR-08-164],1090,0.966921618447551,50,080,,
SEXUAL ASSAUL OF A CHILD,1090,0.999549407127849,50,080,,
ONLINE SOLICITATION OF A MINOR BY SEXUAL CONDUCT,1091,0.981707298851061,51,081,,
SEXUAL ASSAULT OF A CHILD [RE-IND: CR-14-0693],1090,0.999096916457501,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT,1090,0.997611119850394,50,080,,
INDECENCY W/ CHILD,1090,0.997346923721497,50,080,,
INDECENCY W/CHILD [RE-IND CR-07-205],1090,0.988388453326815,50,080,,
INDECENCY WITH CHILD BY SEXUAL CONTACT [RE-IND CR-09-0546],1090,0.998906624893933,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDICT CR-13-0782],1090,0.995711739362404,50,080,,
SEXUAL PERFORMANCE OF A CHILD,1090,0.999985013080218,50,080,,
SEXUAL PERFORMANCE BY A CHILD [EMPLOY / INDUCE / AUTHORIZE],1090,0.984639125479529,50,080,,
INDECENCY WITH A CHLD,1090,0.792046776630206,50,080,,
INDECENCY W/ A CHILD BY SEX. CONTACT,1090,0.997647844620274,50,080,,
INDECENCY WITH A CHILD SEXUAL CONTACT [RE-IND CR-09-0546],1090,0.998906624893933,50,080,,
INDECENCY WITH A CHILD BY SEXUAL CONTACT [RE-INDICT CR-12-0775],1090,0.997145202326376,50,080,,
POSS OF CHILD PORN,1090,0.664130070319543,50,080,,
IND W/CHILD SEXUAL CONTACT[RE-IND CR-07-742],1090,0.990008618284484,50,080,,
INDECENCY W/ CHILD BY SEXUAL CONTACT,1090,0.965618955761034,50,080,,
SEXUAL ASSAULT OF A CHILD [RE-IND CR-08-990],1090,0.999096916457501,50,080,,
AGGRAVATED SEXUAL ASSAULT OF A CHILD,1090,0.996166708735462,50,080,,
AGGRAVATED SEXUAL ASSAULT OF A CHILD,1090,0.996166708735462,50,080,,
AGG SEXUAL ASSAULT OF A CHILD,1090,0.999885804760437,50,080,,
AGG SEXUAL ASSAULT CHILD [SMPD 07-24471],1090,0.999885804760437,50,080,,
CONTINUOUS SEXUAL ABUSE [RE-IND CR-08-122],1090,0.945334356197285,50,080,,
CONTINUOUS SEXUAL ABUSE,1090,0.993316807293281,50,080,,
AGGRAVATED SEXUAL ASSAULT OF A CHILD[RE-INDICTMENT CR-08-164],1090,0.958110043743989,50,080,,
CONTINUOUS SEXUAL ABUSE [RE-INDT CR-08-811],1090,0.993316807293281,50,080,,
